"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\ApplicationEvents.vb", "Visual Basic", 0, 0, 0, 0, 0, 0, 1, 1
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsALZS.vb", "Visual Basic", 7, 0, 0, 0, 0, 26, 5, 38
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsGPX.vb", "Visual Basic", 81, 0, 0, 0, 0, 1, 5, 87
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsKML.vb", "Visual Basic", 462, 0, 0, 0, 0, 11, 9, 482
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsShapefile.vb", "Visual Basic", 1375, 0, 0, 0, 0, 145, 202, 1722
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsTileMapService.vb", "Visual Basic", 571, 0, 0, 0, 0, 156, 68, 795
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsTime.vb", "Visual Basic", 392, 0, 0, 0, 0, 180, 40, 612
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\clsVB6File.vb", "Visual Basic", 1615, 0, 0, 0, 0, 191, 58, 1864
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmAlphaValueSet.Designer.vb", "Visual Basic", 118, 0, 0, 0, 0, 32, 5, 155
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmAlphaValueSet.vb", "Visual Basic", 27, 0, 0, 0, 0, 0, 2, 29
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmArrow.Designer.vb", "Visual Basic", 231, 0, 0, 0, 0, 62, 5, 298
